Entity,Code,Year,Average surface temperature
Argentina,ARG,2000,13.845887
Argentina,ARG,2001,14.548152
Argentina,ARG,2002,14.346806
Argentina,ARG,2003,14.864838
Argentina,ARG,2004,14.817494
Argentina,ARG,2005,14.473485
Argentina,ARG,2006,15.045753
Argentina,ARG,2007,14.090085
Argentina,ARG,2008,14.989705
Argentina,ARG,2009,15.08176
Argentina,ARG,2010,14.485295
Argentina,ARG,2011,14.761898
Argentina,ARG,2012,15.185525
Argentina,ARG,2013,15.062551
Argentina,ARG,2014,14.981773
Argentina,ARG,2015,15.12271
Argentina,ARG,2016,14.622075
Argentina,ARG,2017,15.129823
Argentina,ARG,2018,14.9439745
Argentina,ARG,2019,15.001052
Argentina,ARG,2020,15.251496
Argentina,ARG,2021,15.234355
Argentina,ARG,2022,14.760689
Argentina,ARG,2023,15.652064
Argentina,ARG,2024,15.301922
Argentina,ARG,2025,15.387734
Australia,AUS,2000,21.287556
Australia,AUS,2001,21.458199
Australia,AUS,2002,22.310005
Australia,AUS,2003,22.224907
Australia,AUS,2004,22.07805
Australia,AUS,2005,22.727583
Australia,AUS,2006,22.045454
Australia,AUS,2007,22.272028
Australia,AUS,2008,22.009054
Australia,AUS,2009,22.494513
Australia,AUS,2010,21.751925
Australia,AUS,2011,21.347992
Australia,AUS,2012,21.739702
Australia,AUS,2013,22.897362
Australia,AUS,2014,22.5949
Australia,AUS,2015,22.5064
Australia,AUS,2016,22.401682
Australia,AUS,2017,22.474947
Australia,AUS,2018,22.603178
Australia,AUS,2019,23.126204
Australia,AUS,2020,22.580719
Australia,AUS,2021,21.964605
Australia,AUS,2022,21.874098
Australia,AUS,2023,22.426826
Australia,AUS,2024,22.790445
Australia,AUS,2025,22.638891
Brazil,BRA,2000,24.468048
Brazil,BRA,2001,24.788582
Brazil,BRA,2002,25.19069
Brazil,BRA,2003,24.974861
Brazil,BRA,2004,24.848555
Brazil,BRA,2005,25.171263
Brazil,BRA,2006,24.939947
Brazil,BRA,2007,25.135178
Brazil,BRA,2008,24.786936
Brazil,BRA,2009,25.011078
Brazil,BRA,2010,25.333456
Brazil,BRA,2011,24.892649
Brazil,BRA,2012,25.170889
Brazil,BRA,2013,25.060377
Brazil,BRA,2014,25.171837
Brazil,BRA,2015,25.683662
Brazil,BRA,2016,25.5642
Brazil,BRA,2017,25.381369
