Entity,Code,Year,Annual precipitation
Argentina,ARG,2000,955.05334
Argentina,ARG,2001,936.0044
Argentina,ARG,2002,946.4391
Argentina,ARG,2003,749.5623
Argentina,ARG,2004,734.1446
Argentina,ARG,2005,742.75085
Argentina,ARG,2006,756.07477
Argentina,ARG,2007,778.8111
Argentina,ARG,2008,683.702
Argentina,ARG,2009,675.8896
Argentina,ARG,2010,701.8448
Argentina,ARG,2011,678.87366
Argentina,ARG,2012,767.5073
Argentina,ARG,2013,621.6102
Argentina,ARG,2014,858.9137
Argentina,ARG,2015,817.439
Argentina,ARG,2016,804.3933
Argentina,ARG,2017,822.9798
Argentina,ARG,2018,735.38544
Argentina,ARG,2019,693.6649
Argentina,ARG,2020,578.3959
Argentina,ARG,2021,606.77686
Argentina,ARG,2022,538.72076
Argentina,ARG,2023,618.6116
Argentina,ARG,2024,647.17163
Argentina,ARG,2025,656.9378
Australia,AUS,2000,656.68506
Australia,AUS,2001,500.8003
Australia,AUS,2002,296.48978
Australia,AUS,2003,437.69666
Australia,AUS,2004,447.54428
Australia,AUS,2005,354.92398
Australia,AUS,2006,432.42755
Australia,AUS,2007,470.31915
Australia,AUS,2008,429.25052
Australia,AUS,2009,417.44504
Australia,AUS,2010,624.7383
Australia,AUS,2011,653.0705
Australia,AUS,2012,433.5665
Australia,AUS,2013,391.96265
Australia,AUS,2014,446.68314
Australia,AUS,2015,412.42825
Australia,AUS,2016,484.45767
Australia,AUS,2017,442.16797
Australia,AUS,2018,367.29327
Australia,AUS,2019,242.66423
Australia,AUS,2020,468.10968
Australia,AUS,2021,476.0161
Australia,AUS,2022,554.0686
Australia,AUS,2023,435.06738
Australia,AUS,2024,549.9371
Australia,AUS,2025,454.91373
Brazil,BRA,2000,1918.2529
Brazil,BRA,2001,1763.4281
Brazil,BRA,2002,1713.9707
Brazil,BRA,2003,1708.2885
Brazil,BRA,2004,1805.6158
Brazil,BRA,2005,1774.7333
Brazil,BRA,2006,1810.0073
Brazil,BRA,2007,1674.5981
Brazil,BRA,2008,1896.5753
Brazil,BRA,2009,1963.3665
Brazil,BRA,2010,1684.8529
Brazil,BRA,2011,1905.6708
Brazil,BRA,2012,1639.0797
Brazil,BRA,2013,1873.0792
Brazil,BRA,2014,1757.6575
Brazil,BRA,2015,1608.9254
Brazil,BRA,2016,1740.583
Brazil,BRA,2017,1747.5599
Brazil,BRA,2018,1798.4026
Brazil,BRA,2019,1668.2883
Brazil,BRA,2020,1665.8544
Brazil,BRA,2021,1769.5098
Brazil,BRA,2022,1697.9008
Brazil,BRA,2023,1427.0691
Brazil,BRA,2024,1481.5033
Brazil,BRA,2025,1608.6211
Canada,CAN,2000,654.808
Canada,CAN,2001,660.1671
Canada,CAN,2002,652.1137
Canada,CAN,2003,662.876
Canada,CAN,2004,677.7787
Canada,CAN,2005,703.933
Canada,CAN,2006,668.9893
Canada,CAN,2007,696.54755
Canada,CAN,2008,690.86334
Canada,CAN,2009,635.7257
Canada,CAN,2010,675.34827
Canada,CAN,2011,680.2552
Canada,CAN,2012,683.7687
Canada,CAN,2013,662.69934
Canada,CAN,2014,676.1638
Canada,CAN,2015,670.49866
Canada,CAN,2016,696.37714
Canada,CAN,2017,690.6217
Canada,CAN,2018,657.518
Canada,CAN,2019,686.1557
Canada,CAN,2020,730.59216
Canada,CAN,2021,688.2655
Canada,CAN,2022,694.35876
Canada,CAN,2023,626.7044
Canada,CAN,2024,686.96356
Canada,CAN,2025,669.8656
China,CHN,2000,859.003
China,CHN,2001,809.0416
China,CHN,2002,858.89185
China,CHN,2003,824.7142
China,CHN,2004,773.33167
China,CHN,2005,809.3991
China,CHN,2006,749.2904
China,CHN,2007,756.8613
China,CHN,2008,792.74963
China,CHN,2009,728.454
China,CHN,2010,842.8482
China,CHN,2011,699.6248
China,CHN,2012,833.1714
China,CHN,2013,781.849
China,CHN,2014,774.1
China,CHN,2015,810.2241
China,CHN,2016,869.12225
China,CHN,2017,784.51636
China,CHN,2018,804.549
China,CHN,2019,775.07324
China,CHN,2020,834.86456
China,CHN,2021,827.3099
China,CHN,2022,771.8887
China,CHN,2023,764.6261
China,CHN,2024,865.7228
China,CHN,2025,833.23737
Egypt,EGY,2000,10.938227
Egypt,EGY,2001,6.198369
Egypt,EGY,2002,8.800799
Egypt,EGY,2003,6.5361843
Egypt,EGY,2004,8.519822
Egypt,EGY,2005,9.82201
Egypt,EGY,2006,8.566395
Egypt,EGY,2007,7.768105
Egypt,EGY,2008,10.190325
Egypt,EGY,2009,5.709394
Egypt,EGY,2010,9.275032
Egypt,EGY,2011,11.657751
Egypt,EGY,2012,9.0262575
Egypt,EGY,2013,8.34276
Egypt,EGY,2014,13.213127
Egypt,EGY,2015,15.066537
Egypt,EGY,2016,9.562314
Egypt,EGY,2017,7.1592255
Egypt,EGY,2018,14.129065
Egypt,EGY,2019,15.139509
Egypt,EGY,2020,26.94142
Egypt,EGY,2021,10.798695
Egypt,EGY,2022,10.596375
Egypt,EGY,2023,11.435585
Egypt,EGY,2024,9.759778
Egypt,EGY,2025,6.3507485
France,FRA,2000,1206.9763
France,FRA,2001,1115.8035
France,FRA,2002,1139.3085
France,FRA,2003,927.7132
France,FRA,2004,982.6951
France,FRA,2005,935.4893
France,FRA,2006,1101.4471
France,FRA,2007,1087.1388
France,FRA,2008,1164.2639
France,FRA,2009,977.41437
France,FRA,2010,1120.5485
France,FRA,2011,953.65466
France,FRA,2012,1103.3868
France,FRA,2013,1207.9475
France,FRA,2014,1131.1866
France,FRA,2015,950.7198
France,FRA,2016,1095.1658
France,FRA,2017,1052.87
