Entity,Code,Year,Other renewables,Bioenergy,Solar,Wind,Hydropower,Nuclear,Oil,Gas,Coal
Argentina,ARG,2000,0,0.39,0,0.03,28.58,6.18,3.14,48.88,1.78
Argentina,ARG,2001,0,0.36,0,0.05,36.58,7.06,1.47,43.26,1.36
Argentina,ARG,2002,0,0.53,0,0.07,35.78,5.82,0.87,40.71,0.81
Argentina,ARG,2003,0,0.88,0,0.08,33.8,7.57,1.05,47.75,0.94
Argentina,ARG,2004,0,0.87,0,0.07,30.46,7.87,4.1,55.21,1.68
Argentina,ARG,2005,0,0.92,0,0.07,34.22,6.87,5.79,55.7,2.18
Argentina,ARG,2006,0,1.05,0,0.07,38.02,7.72,8.18,56.4,1.99
Argentina,ARG,2007,0,1.07,0,0.06,31.22,7.25,11.4,60.18,2.34
Argentina,ARG,2008,0,1.21,0,0.04,31.2,7.39,14.72,65.41,1.94
Argentina,ARG,2009,0,1.19,0,0.04,34.62,8.18,14.84,61.7,1.75
Argentina,ARG,2010,0,1.38,0,0.03,33.36,7.21,17.2,63.81,3.01
Argentina,ARG,2011,0,1.39,0,0.03,31.19,6.4,19.71,67.86,2.91
Argentina,ARG,2012,0,1.45,0.01,0.37,29.16,6.4,19.76,76.23,2.64
Argentina,ARG,2013,0,1.53,0.02,0.45,32.77,6.21,21.39,74.7,2.38
Argentina,ARG,2014,0,1.48,0.02,0.62,32.42,5.51,19.79,76.16,2.54
Argentina,ARG,2015,0,1.49,0.01,0.59,32.34,7.04,22.45,79.11,2.39
Argentina,ARG,2016,0,1.18,0.01,0.55,29.75,8.28,21.2,84.28,1.93
Argentina,ARG,2017,0,1.46,0.02,0.61,31.59,6.09,12.62,91.21,2.01
Argentina,ARG,2018,0,1.42,0.11,1.41,32.28,6.87,7.31,95.35,2.03
Argentina,ARG,2019,0,1.48,0.8,5,27.5,8.44,3.83,91.31,1.17
Argentina,ARG,2020,0,2.2,1.34,9.41,23.67,10.01,7.65,88.72,1.64
Argentina,ARG,2021,0,2.25,2.2,12.94,19.65,10.17,13.63,89.93,2.38
Argentina,ARG,2022,0,2.4,2.94,14.16,22.77,7.47,16.93,76.6,2.34
Argentina,ARG,2023,0,2.4,3.28,14.48,31.49,8.96,9.8,76.32,1.83
Argentina,ARG,2024,0,2.63,3.97,16.17,29.67,10.45,6.36,81.95,1.31
Argentina,ARG,2025,0,2.95,5.14,18.62,26.25,10.76,5.92,80.69,2.82
Australia,AUS,2000,0,0.89,0.05,0.13,16.47,0,2.27,16.76,180.26
Australia,AUS,2001,0,0.8,0.05,0.29,16.12,0,2.62,24.5,179.88
Australia,AUS,2002,0,1.27,0.06,0.53,16.09,0,3.13,30.55,171.86
Australia,AUS,2003,0,1.69,0.06,0.7,16.21,0,3.53,30.15,173.61
Australia,AUS,2004,0,2.82,0.07,0.8,15.69,0,3.53,27.36,178.96
Australia,AUS,2005,0,3.87,0.08,1.3,15.47,0,3.78,23.26,182.98
Australia,AUS,2006,0,3.93,0.1,2.16,14.95,0,3.8,27.29,185.76
Australia,AUS,2007,0,4.28,0.11,2.85,13.05,0,4.01,33.4,185.49
Australia,AUS,2008,0,3.7,0.14,3.46,11.82,0,5.71,36.31,184.24
Australia,AUS,2009,0,2.79,0.29,4.44,12.64,0,6.6,41.12,182.02
Australia,AUS,2010,0,2.44,0.98,4.99,13.75,0,6,46.79,176.02
Australia,AUS,2011,0,2.57,2.04,6.43,19.57,0,4.91,48.78,171.98
Australia,AUS,2012,0,3.1,2.41,7.72,17.04,0,5.2,49.81,165.38
Australia,AUS,2013,0,3.33,3.85,9.26,19.09,0,5.86,52.72,155.45
Australia,AUS,2014,0,3.55,4.95,9.78,14.48,0,6,53.66,155.23
Australia,AUS,2015,0,3.68,6.2,11.83,14.09,0,6.28,49.71,162.2
Australia,AUS,2016,0,3.63,7.44,13.04,17.63,0,6.02,48.11,162.36
Australia,AUS,2017,0,3.56,8.92,13.21,13.5,0,5.52,55.09,159.17
Australia,AUS,2018,0,3.59,12.33,16.26,17.31,0,5.12,51.46,156.56
Australia,AUS,2019,0,3.47,18.3,19.47,14.02,0,5.09,55.71,149.84
Australia,AUS,2020,0,3.41,23.84,22.61,14.42,0,4.89,53.05,142.93
Australia,AUS,2021,0,3.34,31.19,26.8,15.94,0,5.15,47.63,137.4
Australia,AUS,2022,0,3.19,37.54,30.05,16.66,0,5.45,50.82,129.21
Australia,AUS,2023,0,3.13,44.99,31.87,15.08,0,5.76,46.67,125.61
Australia,AUS,2024,0,2.99,50.21,32.74,12.85,0,6.42,49.1,127.33
Brazil,BRA,2000,0,7.86,0,0,304.4,6.05,15.62,4.07,10.93
Brazil,BRA,2001,0,9.02,0,0.03,267.88,14.28,16.34,9.92,11.08
Brazil,BRA,2002,0,10.27,0,0.06,286.09,13.84,13.93,12.41,9.12
Brazil,BRA,2003,0,11.94,0,0.06,305.62,13.36,11.29,13.11,9.01
Brazil,BRA,2004,0,12.52,0,0.06,320.8,11.61,12.87,19.26,10.37
Brazil,BRA,2005,0,13.64,0,0.09,337.46,9.85,12.54,18.81,10.68
Brazil,BRA,2006,0,14.85,0,0.24,348.8,13.75,13.08,18.26,10.47
Brazil,BRA,2007,0,18.06,0,0.66,374.02,12.35,14.48,15.5,10.08
Brazil,BRA,2008,0,19.79,0,1.18,369.56,13.97,17.94,28.78,11.96
Brazil,BRA,2009,0,22.88,0,1.24,390.99,12.96,14.8,13.33,9.97
Brazil,BRA,2010,0,31.94,0,2.18,403.29,14.52,16.1,36.48,11.29
Brazil,BRA,2011,0,32.63,0,2.7,428.33,15.66,14.74,25.1,12.6
Brazil,BRA,2012,0,35.77,0,5.05,415.34,16.04,19.07,46.76,14.47
Brazil,BRA,2013,0,40.97,0,6.58,390.99,15.45,25.87,69,21.97
Brazil,BRA,2014,0,47.08,0.02,12.21,373.44,15.38,34.45,81.07,26.9
Brazil,BRA,2015,0,49.88,0.06,21.63,359.74,14.73,28.71,79.49,26.98
Brazil,BRA,2016,0,51.33,0.09,33.49,380.91,15.86,15.06,56.48,25.67
Brazil,BRA,2017,0,52.91,0.83,42.37,370.91,15.74,18.12,65.59,22.85
Brazil,BRA,2018,0,54.38,3.46,48.48,388.97,15.67,15.01,54.62,20.8
Brazil,BRA,2019,0,54.92,6.65,55.99,397.88,16.13,14.12,65.96,21.68
Brazil,BRA,2020,0,58.74,10.75,57.05,396.38,14.05,14.56,59.48,17.75
Brazil,BRA,2021,0,56.01,16.75,72.29,362.82,14.7,22.63,86.96,24.24
Brazil,BRA,2022,0,55.02,30.13,81.63,427.11,14.56,12.2,42.11,14.4
Brazil,BRA,2023,0,57.76,50.63,95.8,426,14.5,11.53,38.59,13.31
Brazil,BRA,2024,0,58.24,71.32,108.49,413.21,15.78,13.71,48.76,16.21
Brazil,BRA,2025,0,55.12,88.64,117.58,388.63,15.87,12.65,54.85,17.19
Canada,CAN,2000,0,8.92,0.02,0.26,356.76,72.29,13.51,35.83,116.23
Canada,CAN,2001,0,9.67,0.02,0.33,331.52,76.16,16.08,42.29,111.69
Canada,CAN,2002,0,10.05,0.02,0.41,349.27,75,15.51,38.83,110.7
Canada,CAN,2003,0,9.42,0.02,0.69,336.14,74.37,19.34,38.73,109.56
