Entity,Code,Year,Total across all levels of education
Argentina,ARG,2000,16.22615
Argentina,ARG,2001,16.35596
Argentina,ARG,2002,16.44221
Argentina,ARG,2003,14.35472
Argentina,ARG,2004,15.1393
Argentina,ARG,2005,15.80317
Argentina,ARG,2006,15.50984
Argentina,ARG,2007,15.10157
Argentina,ARG,2008,15.74784
Argentina,ARG,2009,16.02067
Argentina,ARG,2010,15.04797
Argentina,ARG,2011,15.15856
Argentina,ARG,2012,14.51826
Argentina,ARG,2013,14.45793
Argentina,ARG,2014,13.79933
Argentina,ARG,2015,13.96331
Argentina,ARG,2016,13.35554
Argentina,ARG,2017,13.26392
Argentina,ARG,2018,12.52334
Argentina,ARG,2019,12.51446
Argentina,ARG,2020,12.42229
Argentina,ARG,2021,12.2849
Argentina,ARG,2022,12.70758
Australia,AUS,2000,14.427125
Australia,AUS,2001,15.164728
Australia,AUS,2002,15.550632
Australia,AUS,2003,15.6161
Australia,AUS,2004,15.513145
Australia,AUS,2005,15.824203
Australia,AUS,2006,15.625892
Australia,AUS,2007,15.095054
Australia,AUS,2008,15.076464
Australia,AUS,2009,14.7948475
Australia,AUS,2010,17.115782
Australia,AUS,2011,17.127481
Australia,AUS,2012,15.393514
Australia,AUS,2013,15.562989
Australia,AUS,2014,15.033334
Australia,AUS,2015,14.882427
Australia,AUS,2016,14.890553
Australia,AUS,2017,14.8495865
Australia,AUS,2018,15.108437
Australia,AUS,2019,15.293368
Australia,AUS,2020,14.456253
Australia,AUS,2021,13.145395
Australia,AUS,2022,13.944694
Brazil,BRA,2001,9.29055
Brazil,BRA,2002,8.13302
Brazil,BRA,2004,9.67223
Brazil,BRA,2005,10.32973
Brazil,BRA,2006,11.39524
Brazil,BRA,2007,11.9628
Brazil,BRA,2008,12.64302
Brazil,BRA,2009,13.09782
Brazil,BRA,2010,13.39705
Brazil,BRA,2011,13.63896
Brazil,BRA,2012,13.96629
Brazil,BRA,2013,13.72297
Brazil,BRA,2014,13.46777
Brazil,BRA,2015,12.69798
Brazil,BRA,2016,12.99406
Brazil,BRA,2017,13.08883
Brazil,BRA,2018,12.81521
Brazil,BRA,2019,12.74027
Brazil,BRA,2020,11.56259
Brazil,BRA,2021,12.8002
Canada,CAN,2008,12.4984665
