Entity,Code,Year,Literacy rate among adults
Argentina,ARG,2001,97
Brazil,BRA,2000,86
Brazil,BRA,2004,89
Brazil,BRA,2006,90
Brazil,BRA,2007,90
Brazil,BRA,2008,90
Brazil,BRA,2009,90
Brazil,BRA,2010,90
Brazil,BRA,2011,91
Brazil,BRA,2012,91
Brazil,BRA,2013,91
Brazil,BRA,2014,92
Brazil,BRA,2015,92
Brazil,BRA,2016,93
Brazil,BRA,2017,93
Brazil,BRA,2018,93
China,CHN,2000,91
China,CHN,2010,95
China,CHN,2020,97
Egypt,EGY,2005,67
Egypt,EGY,2006,66
Egypt,EGY,2010,72
Egypt,EGY,2012,74
Egypt,EGY,2013,72
Egypt,EGY,2017,71
India,IND,2001,61
India,IND,2006,63
India,IND,2011,69
India,IND,2022,76
India,IND,2023,82
Indonesia,IDN,2004,90
Indonesia,IDN,2006,92
Indonesia,IDN,2008,92
Indonesia,IDN,2009,93
Indonesia,IDN,2011,93
Indonesia,IDN,2014,95
Indonesia,IDN,2015,95
Indonesia,IDN,2016,95
Indonesia,IDN,2018,96
Indonesia,IDN,2020,96
Kenya,KEN,2000,82
Mexico,MEX,2000,91
Mexico,MEX,2002,90
Mexico,MEX,2004,91
Mexico,MEX,2005,92
Mexico,MEX,2006,92
Mexico,MEX,2007,93
Mexico,MEX,2008,93
Mexico,MEX,2009,93
Mexico,MEX,2010,93
Mexico,MEX,2011,94
Mexico,MEX,2012,94
Mexico,MEX,2013,94
Mexico,MEX,2014,95
Mexico,MEX,2015,94
Mexico,MEX,2016,95
Mexico,MEX,2017,95
Mexico,MEX,2018,95
Mexico,MEX,2020,95
Nigeria,NGA,2003,55
Nigeria,NGA,2006,70
Nigeria,NGA,2016,58.22134
Nigeria,NGA,2021,63.15554
Peru,PER,2004,88
Peru,PER,2005,88
Peru,PER,2006,89
Peru,PER,2007,90
Peru,PER,2012,94
Peru,PER,2014,94
Peru,PER,2015,94
Peru,PER,2016,94
Peru,PER,2017,94
Peru,PER,2018,94
Peru,PER,2020,94
South Africa,ZAF,2007,89
South Africa,ZAF,2009,93
South Africa,ZAF,2010,93
South Africa,ZAF,2011,93
South Africa,ZAF,2012,94
South Africa,ZAF,2014,94
South Africa,ZAF,2015,94
South Africa,ZAF,2016,91.73724
South Africa,ZAF,2017,87
South Africa,ZAF,2019,95
South Africa,ZAF,2021,90
