Entity,Code,Year,Fossil fuels
Argentina,ARG,2000,60.463024
Argentina,ARG,2001,51.131573
Argentina,ARG,2002,50.11231
Argentina,ARG,2003,54.024113
Argentina,ARG,2004,60.831837
Argentina,ARG,2005,60.208035
Argentina,ARG,2006,58.68818
Argentina,ARG,2007,65.11628
Argentina,ARG,2008,67.32015
Argentina,ARG,2009,64.00425
Argentina,ARG,2010,66.68253
Argentina,ARG,2011,69.87412
Argentina,ARG,2012,72.51139
Argentina,ARG,2013,70.61313
Argentina,ARG,2014,71.091385
Argentina,ARG,2015,71.4826
Argentina,ARG,2016,72.97867
Argentina,ARG,2017,72.68731
Argentina,ARG,2018,71.32443
Argentina,ARG,2019,69.02458
Argentina,ARG,2020,67.76134
Argentina,ARG,2021,69.17402
Argentina,ARG,2022,65.84026
Argentina,ARG,2023,59.201668
Argentina,ARG,2024,58.763363
Argentina,ARG,2025,58.393734
Australia,AUS,2000,91.91071
Australia,AUS,2001,92.30358
Australia,AUS,2002,91.968315
Australia,AUS,2003,91.74153
Australia,AUS,2004,91.545616
Australia,AUS,2005,91.020195
Australia,AUS,2006,91.11727
Australia,AUS,2007,91.65672
Australia,AUS,2008,92.208
Australia,AUS,2009,91.93278
Australia,AUS,2010,91.17026
Australia,AUS,2011,88.05603
Australia,AUS,2012,87.92388
Australia,AUS,2013,85.76294
Australia,AUS,2014,86.77165
Australia,AUS,2015,85.90495
Australia,AUS,2016,83.83611
Australia,AUS,2017,84.866974
Australia,AUS,2018,81.156
Australia,AUS,2019,79.21775
Australia,AUS,2020,75.75712
Australia,AUS,2021,71.10861
Australia,AUS,2022,67.9613
Australia,AUS,2023,65.18985
Australia,AUS,2024,64.9233
Australia,AUS,2025,61.381573
Brazil,BRA,2000,8.775399
Brazil,BRA,2001,11.365089
Brazil,BRA,2002,10.256855
Brazil,BRA,2003,9.168747
Brazil,BRA,2004,10.968025
Brazil,BRA,2005,10.427468
Brazil,BRA,2006,9.967815
Brazil,BRA,2007,8.999214
Brazil,BRA,2008,12.6689415
Brazil,BRA,2009,8.172983
Brazil,BRA,2010,12.382707
Brazil,BRA,2011,9.861591
Brazil,BRA,2012,14.533937
Brazil,BRA,2013,20.46844
Brazil,BRA,2014,24.1165
Brazil,BRA,2015,23.257975
Brazil,BRA,2016,16.792482
Brazil,BRA,2017,18.081856
Brazil,BRA,2018,15.036831
Brazil,BRA,2019,16.067453
Brazil,BRA,2020,14.598575
Brazil,BRA,2021,20.388483
Brazil,BRA,2022,10.14679
Brazil,BRA,2023,8.957521
Brazil,BRA,2024,10.550878
Brazil,BRA,2025,11.284026
Canada,CAN,2000,27.420424
Canada,CAN,2001,28.933577
Canada,CAN,2002,27.516296
Canada,CAN,2003,28.495419
Canada,CAN,2004,26.664995
Canada,CAN,2005,25.203867
Canada,CAN,2006,24.132605
Canada,CAN,2007,25.498669
Canada,CAN,2008,23.690386
Canada,CAN,2009,22.811018
Canada,CAN,2010,24.105892
Canada,CAN,2011,23.287949
Canada,CAN,2012,21.832092
Canada,CAN,2013,20.968752
Canada,CAN,2014,21.316448
Canada,CAN,2015,20.865856
Canada,CAN,2016,20.337864
Canada,CAN,2017,19.151417
Canada,CAN,2018,19.325468
Canada,CAN,2019,19.292358
Canada,CAN,2020,18.538168
Canada,CAN,2021,19.164621
Canada,CAN,2022,18.820023
Canada,CAN,2023,20.815727
Canada,CAN,2024,22.305626
