Entity,Code,Year,Nuclear
Argentina,ARG,2000,6.9453807
Argentina,ARG,2001,7.832261
Argentina,ARG,2002,6.880246
Argentina,ARG,2003,8.222005
Argentina,ARG,2004,7.849591
Argentina,ARG,2005,6.496454
Argentina,ARG,2006,6.805959
Argentina,ARG,2007,6.38654
Argentina,ARG,2008,6.0618486
Argentina,ARG,2009,6.6873775
Argentina,ARG,2010,5.7222223
Argentina,ARG,2011,4.9424663
Argentina,ARG,2012,4.70519
Argentina,ARG,2013,4.453209
Argentina,ARG,2014,3.977191
Argentina,ARG,2015,4.84115
Argentina,ARG,2016,5.6257644
Argentina,ARG,2017,4.182405
Argentina,ARG,2018,4.6804743
Argentina,ARG,2019,6.048878
Argentina,ARG,2020,6.920631
Argentina,ARG,2021,6.6405487
Argentina,ARG,2022,5.130142
Argentina,ARG,2023,6.0312333
Argentina,ARG,2024,6.85201
Argentina,ARG,2025,7.025792
Australia,AUS,2000,0
Australia,AUS,2001,0
Australia,AUS,2002,0
Australia,AUS,2003,0
Australia,AUS,2004,0
Australia,AUS,2005,0
Australia,AUS,2006,0
Australia,AUS,2007,0
Australia,AUS,2008,0
Australia,AUS,2009,0
Australia,AUS,2010,0
Australia,AUS,2011,0
Australia,AUS,2012,0
Australia,AUS,2013,0
Australia,AUS,2014,0
Australia,AUS,2015,0
Australia,AUS,2016,0
Australia,AUS,2017,0
Australia,AUS,2018,0
Australia,AUS,2019,0
Australia,AUS,2020,0
Australia,AUS,2021,0
Australia,AUS,2022,0
Australia,AUS,2023,0
Australia,AUS,2024,0
Brazil,BRA,2000,1.7338722
Brazil,BRA,2001,4.3463707
Brazil,BRA,2002,4.0032396
Brazil,BRA,2003,3.6664011
Brazil,BRA,2004,2.9962063
Brazil,BRA,2005,2.4437444
Brazil,BRA,2006,3.2781022
Brazil,BRA,2007,2.7743459
Brazil,BRA,2008,3.0161061
Brazil,BRA,2009,2.7801015
Brazil,BRA,2010,2.8150446
Brazil,BRA,2011,2.9449375
Brazil,BRA,2012,2.9031675
Brazil,BRA,2013,2.706585
Brazil,BRA,2014,2.604352
Brazil,BRA,2015,2.5343244
Brazil,BRA,2016,2.7397258
Brazil,BRA,2017,2.6708748
Brazil,BRA,2018,2.6056302
Brazil,BRA,2019,2.5468552
Brazil,BRA,2020,2.234557
Brazil,BRA,2021,2.239488
Brazil,BRA,2022,2.1501567
Brazil,BRA,2023,2.0476756
Brazil,BRA,2024,2.1160758
Brazil,BRA,2025,2.1145058
Canada,CAN,2000,11.972111
Canada,CAN,2001,12.95767
Canada,CAN,2002,12.504377
Canada,CAN,2003,12.642154
Canada,CAN,2004,14.997494
Canada,CAN,2005,14.730057
Canada,CAN,2006,15.988692
Canada,CAN,2007,14.637569
Canada,CAN,2008,15.013147
Canada,CAN,2009,14.573118
Canada,CAN,2010,14.831226
Canada,CAN,2011,14.561235
Canada,CAN,2012,14.798756
Canada,CAN,2013,15.66594
Canada,CAN,2014,16.316217
Canada,CAN,2015,15.293156
Canada,CAN,2016,15.097507
Canada,CAN,2017,15.029507
Canada,CAN,2018,15.128553
Canada,CAN,2019,15.325605
Canada,CAN,2020,14.866822
Canada,CAN,2021,14.098712
Canada,CAN,2022,13.0451145
Canada,CAN,2023,13.787243
Canada,CAN,2024,13.422008
Canada,CAN,2025,13.0770645
China,CHN,2000,1.2348776
China,CHN,2001,1.1797756
China,CHN,2002,1.5193378
China,CHN,2003,2.2684212
China,CHN,2004,2.2906444
China,CHN,2005,2.1233792
China,CHN,2006,1.9136553
China,CHN,2007,1.8933184
China,CHN,2008,1.95637
China,CHN,2009,1.8857818
China,CHN,2010,1.7764952
China,CHN,2011,1.8501936
China,CHN,2012,1.9713125
China,CHN,2013,2.0527909
China,CHN,2014,2.2990966
China,CHN,2015,2.9474185
China,CHN,2016,3.475859
China,CHN,2017,3.756564
China,CHN,2018,4.1165814
China,CHN,2019,4.647208
China,CHN,2020,4.707504
China,CHN,2021,4.7748723
China,CHN,2022,4.7213664
China,CHN,2023,4.597074
China,CHN,2024,4.4696674
China,CHN,2025,4.6073265
Egypt,EGY,2000,0
Egypt,EGY,2001,0
Egypt,EGY,2002,0
Egypt,EGY,2003,0
Egypt,EGY,2004,0
Egypt,EGY,2005,0
Egypt,EGY,2006,0
Egypt,EGY,2007,0
Egypt,EGY,2008,0
Egypt,EGY,2009,0
Egypt,EGY,2010,0
Egypt,EGY,2011,0
Egypt,EGY,2012,0
Egypt,EGY,2013,0
Egypt,EGY,2014,0
Egypt,EGY,2015,0
Egypt,EGY,2016,0
Egypt,EGY,2017,0
Egypt,EGY,2018,0
Egypt,EGY,2019,0
Egypt,EGY,2020,0
Egypt,EGY,2021,0
Egypt,EGY,2022,0
Egypt,EGY,2023,0
Egypt,EGY,2024,0
France,FRA,2000,77.955536
France,FRA,2001,77.604126
France,FRA,2002,79.23228
France,FRA,2003,78.885056
France,FRA,2004,79.15239
France,FRA,2005,79.33549
France,FRA,2006,79.356606
France,FRA,2007,78.26605
France,FRA,2008,77.50715
France,FRA,2009,77.47462
France,FRA,2010,76.2003
France,FRA,2011,77.933586
France,FRA,2012,74.951546
France,FRA,2013,73.4599
France,FRA,2014,77.074394
France,FRA,2015,76.18873
France,FRA,2016,72.14945
France,FRA,2017,71.681
France,FRA,2018,71.66112
France,FRA,2019,70.556305
France,FRA,2020,67.10858
France,FRA,2021,68.93569
France,FRA,2022,62.916
France,FRA,2023,65.19518
France,FRA,2024,67.72224
France,FRA,2025,68.78663
Germany,DEU,2000,29.811054
Germany,DEU,2001,29.588558
Germany,DEU,2002,28.23763
Germany,DEU,2003,27.417236
Germany,DEU,2004,27.406498
Germany,DEU,2005,26.58395
Germany,DEU,2006,26.542368
Germany,DEU,2007,22.26747
Germany,DEU,2008,23.484478
Germany,DEU,2009,22.948837
Germany,DEU,2010,22.518063
Germany,DEU,2011,17.846281
Germany,DEU,2012,16.046852
Germany,DEU,2013,15.4504595
Germany,DEU,2014,15.697778
Germany,DEU,2015,14.360812
Germany,DEU,2016,13.192105
Germany,DEU,2017,11.842472
Germany,DEU,2018,12.019991
Germany,DEU,2019,12.509789
Germany,DEU,2020,11.359506
Germany,DEU,2021,11.943057
Germany,DEU,2022,6.1229887
Germany,DEU,2023,1.42485
Germany,DEU,2024,0
Germany,DEU,2025,0
India,IND,2000,2.7599363
India,IND,2001,3.2230542
India,IND,2002,3.1740043
India,IND,2003,2.842681
India,IND,2004,3.0444496
India,IND,2005,2.5166068
India,IND,2006,2.368255
India,IND,2007,2.2392182
India,IND,2008,1.8384616
India,IND,2009,1.9143438
India,IND,2010,2.4647849
India,IND,2011,3.1211255
India,IND,2012,3.0447803
India,IND,2013,2.9187808
India,IND,2014,2.7560618
India,IND,2015,2.923178
India,IND,2016,2.7169821
India,IND,2017,2.558141
India,IND,2018,2.48465
India,IND,2019,2.8207724
India,IND,2020,2.8533416
India,IND,2021,2.6162791
India,IND,2022,2.5595558
India,IND,2023,2.512694
India,IND,2024,2.6859546
India,IND,2025,2.5859916
Indonesia,IDN,2000,0
Indonesia,IDN,2001,0
Indonesia,IDN,2002,0
Indonesia,IDN,2003,0
Indonesia,IDN,2004,0
Indonesia,IDN,2005,0
Indonesia,IDN,2006,0
Indonesia,IDN,2007,0
Indonesia,IDN,2008,0
Indonesia,IDN,2009,0
Indonesia,IDN,2010,0
Indonesia,IDN,2011,0
Indonesia,IDN,2012,0
Indonesia,IDN,2013,0
Indonesia,IDN,2014,0
Indonesia,IDN,2015,0
Indonesia,IDN,2016,0
Indonesia,IDN,2017,0
Indonesia,IDN,2018,0
Indonesia,IDN,2019,0
Indonesia,IDN,2020,0
Indonesia,IDN,2021,0
Indonesia,IDN,2022,0
Indonesia,IDN,2023,0
Indonesia,IDN,2024,0
Japan,JPN,2000,29.019613
Japan,JPN,2001,29.59359
Japan,JPN,2002,28.489582
Japan,JPN,2003,21.05822
Japan,JPN,2004,25.497017
Japan,JPN,2005,25.413897
Japan,JPN,2006,26.133896
Japan,JPN,2007,23.642712
Japan,JPN,2008,21.267214
Japan,JPN,2009,24.653955
Japan,JPN,2010,25.28978
Japan,JPN,2011,14.755479
Japan,JPN,2012,1.6252891
Japan,JPN,2013,1.3422079
Japan,JPN,2014,0
Japan,JPN,2015,0.43878382
Japan,JPN,2016,1.6621228
Japan,JPN,2017,2.6995153
Japan,JPN,2018,4.534919
Japan,JPN,2019,6.2669463
Japan,JPN,2020,4.2530885
Japan,JPN,2021,5.916862
Japan,JPN,2022,4.975158
Japan,JPN,2023,7.694218
Japan,JPN,2024,8.354077
Japan,JPN,2025,9.136193
Kenya,KEN,2000,0
Kenya,KEN,2001,0
Kenya,KEN,2002,0
Kenya,KEN,2003,0
Kenya,KEN,2004,0
Kenya,KEN,2005,0
Kenya,KEN,2006,0
Kenya,KEN,2007,0
Kenya,KEN,2008,0
Kenya,KEN,2009,0
Kenya,KEN,2010,0
Kenya,KEN,2011,0
Kenya,KEN,2012,0
Kenya,KEN,2013,0
Kenya,KEN,2014,0
Kenya,KEN,2015,0
Kenya,KEN,2016,0
Kenya,KEN,2017,0
Kenya,KEN,2018,0
Kenya,KEN,2019,0
Kenya,KEN,2020,0
Kenya,KEN,2021,0
Kenya,KEN,2022,0
Kenya,KEN,2023,0
Kenya,KEN,2024,0
Kenya,KEN,2025,0
Mexico,MEX,2000,4.036932
Mexico,MEX,2001,4.152792
Mexico,MEX,2002,4.5195384
Mexico,MEX,2003,4.6687417
Mexico,MEX,2004,3.9041588
Mexico,MEX,2005,4.3553658
Mexico,MEX,2006,4.241951
Mexico,MEX,2007,3.958064
Mexico,MEX,2008,3.6391993
Mexico,MEX,2009,3.921422
Mexico,MEX,2010,2.133759
Mexico,MEX,2011,3.4537053
Mexico,MEX,2012,2.9589393
Mexico,MEX,2013,3.9714594
Mexico,MEX,2014,3.1912441
Mexico,MEX,2015,3.731151
Mexico,MEX,2016,3.299516
Mexico,MEX,2017,3.3060865
Mexico,MEX,2018,3.879298
Mexico,MEX,2019,3.2475257
Mexico,MEX,2020,3.4322906
Mexico,MEX,2021,3.6276212
Mexico,MEX,2022,3.1897695
Mexico,MEX,2023,3.522889
Mexico,MEX,2024,3.4658484
Mexico,MEX,2025,2.8461776
New Zealand,NZL,2000,0
New Zealand,NZL,2001,0
New Zealand,NZL,2002,0
New Zealand,NZL,2003,0
New Zealand,NZL,2004,0
New Zealand,NZL,2005,0
New Zealand,NZL,2006,0
New Zealand,NZL,2007,0
New Zealand,NZL,2008,0
New Zealand,NZL,2009,0
New Zealand,NZL,2010,0
New Zealand,NZL,2011,0
New Zealand,NZL,2012,0
New Zealand,NZL,2013,0
New Zealand,NZL,2014,0
New Zealand,NZL,2015,0
New Zealand,NZL,2016,0
New Zealand,NZL,2017,0
New Zealand,NZL,2018,0
New Zealand,NZL,2019,0
New Zealand,NZL,2020,0
New Zealand,NZL,2021,0
New Zealand,NZL,2022,0
New Zealand,NZL,2023,0
New Zealand,NZL,2024,0
New Zealand,NZL,2025,0
Nigeria,NGA,2000,0
Nigeria,NGA,2001,0
Nigeria,NGA,2002,0
Nigeria,NGA,2003,0
Nigeria,NGA,2004,0
Nigeria,NGA,2005,0
Nigeria,NGA,2006,0
Nigeria,NGA,2007,0
Nigeria,NGA,2008,0
Nigeria,NGA,2009,0
Nigeria,NGA,2010,0
Nigeria,NGA,2011,0
Nigeria,NGA,2012,0
Nigeria,NGA,2013,0
Nigeria,NGA,2014,0
Nigeria,NGA,2015,0
Nigeria,NGA,2016,0
Nigeria,NGA,2017,0
Nigeria,NGA,2018,0
Nigeria,NGA,2019,0
Nigeria,NGA,2020,0
Nigeria,NGA,2021,0
Nigeria,NGA,2022,0
Nigeria,NGA,2023,0
Nigeria,NGA,2024,0
Nigeria,NGA,2025,0
Peru,PER,2000,0
Peru,PER,2001,0
Peru,PER,2002,0
Peru,PER,2003,0
Peru,PER,2004,0
Peru,PER,2005,0
Peru,PER,2006,0
Peru,PER,2007,0
Peru,PER,2008,0
Peru,PER,2009,0
Peru,PER,2010,0
Peru,PER,2011,0
Peru,PER,2012,0
Peru,PER,2013,0
Peru,PER,2014,0
Peru,PER,2015,0
Peru,PER,2016,0
Peru,PER,2017,0
Peru,PER,2018,0
Peru,PER,2019,0
Peru,PER,2020,0
Peru,PER,2021,0
Peru,PER,2022,0
Peru,PER,2023,0
Peru,PER,2024,0
Peru,PER,2025,0
South Africa,ZAF,2000,6.1758285
South Africa,ZAF,2001,5.1025753
South Africa,ZAF,2002,5.4356694
South Africa,ZAF,2003,5.404713
South Africa,ZAF,2004,5.4658437
South Africa,ZAF,2005,4.6094804
South Africa,ZAF,2006,3.9517748
South Africa,ZAF,2007,4.2961783
South Africa,ZAF,2008,5.033102
South Africa,ZAF,2009,5.133034
South Africa,ZAF,2010,5.212065
South Africa,ZAF,2011,4.91466
South Africa,ZAF,2012,5.0296664
South Africa,ZAF,2013,5.5127954
South Africa,ZAF,2014,5.412725
South Africa,ZAF,2015,4.895021
South Africa,ZAF,2016,5.945176
South Africa,ZAF,2017,5.561652
South Africa,ZAF,2018,4.518143
South Africa,ZAF,2019,5.2357054
South Africa,ZAF,2020,4.11232
South Africa,ZAF,2021,5.0313697
South Africa,ZAF,2022,4.222938
South Africa,ZAF,2023,3.4771411
South Africa,ZAF,2024,3.1512606
South Africa,ZAF,2025,4.2058
Sweden,SWE,2000,39.46843
Sweden,SWE,2001,44.622524
Sweden,SWE,2002,46.428085
Sweden,SWE,2003,49.796883
Sweden,SWE,2004,51.128265
Sweden,SWE,2005,45.705986
Sweden,SWE,2006,46.74763
Sweden,SWE,2007,45.00067
Sweden,SWE,2008,42.62175
Sweden,SWE,2009,38.1918
Sweden,SWE,2010,38.95588
Sweden,SWE,2011,40.238224
Sweden,SWE,2012,38.476326
Sweden,SWE,2013,43.429394
Sweden,SWE,2014,42.250584
Sweden,SWE,2015,34.78395
Sweden,SWE,2016,40.47726
