Entity,Code,Year,Renewables
Argentina,ARG,2000,32.59159
Argentina,ARG,2001,41.036167
Argentina,ARG,2002,43.00745
Argentina,ARG,2003,37.75388
Argentina,ARG,2004,31.318571
Argentina,ARG,2005,33.295506
Argentina,ARG,2006,34.505863
Argentina,ARG,2007,28.49718
Argentina,ARG,2008,26.617996
Argentina,ARG,2009,29.30837
Argentina,ARG,2010,27.595238
Argentina,ARG,2011,25.18341
Argentina,ARG,2012,22.783413
Argentina,ARG,2013,24.933668
Argentina,ARG,2014,24.931429
Argentina,ARG,2015,23.676249
Argentina,ARG,2016,21.39557
Argentina,ARG,2017,23.13028
Argentina,ARG,2018,23.995096
Argentina,ARG,2019,24.926538
Argentina,ARG,2020,25.31803
Argentina,ARG,2021,24.18544
Argentina,ARG,2022,29.0296
Argentina,ARG,2023,34.767097
Argentina,ARG,2024,34.384632
Argentina,ARG,2025,34.58048
Australia,AUS,2000,8.089287
Australia,AUS,2001,7.696424
Australia,AUS,2002,8.031679
Australia,AUS,2003,8.258464
Australia,AUS,2004,8.454391
Australia,AUS,2005,8.979804
Australia,AUS,2006,8.882726
Australia,AUS,2007,8.343271
Australia,AUS,2008,7.7919965
Australia,AUS,2009,8.067227
Australia,AUS,2010,8.829741
Australia,AUS,2011,11.943968
Australia,AUS,2012,12.076119
Australia,AUS,2013,14.237057
Australia,AUS,2014,13.228346
Australia,AUS,2015,14.095042
Australia,AUS,2016,16.163885
Australia,AUS,2017,15.133026
Australia,AUS,2018,18.844002
Australia,AUS,2019,20.78225
Australia,AUS,2020,24.242882
Australia,AUS,2021,28.891378
Australia,AUS,2022,32.038692
Australia,AUS,2023,34.81015
Australia,AUS,2024,35.07669
Australia,AUS,2025,38.618427
Brazil,BRA,2000,89.49073
Brazil,BRA,2001,84.28854
Brazil,BRA,2002,85.73991
Brazil,BRA,2003,87.16485
Brazil,BRA,2004,86.035774
Brazil,BRA,2005,87.128784
Brazil,BRA,2006,86.75408
Brazil,BRA,2007,88.22644
Brazil,BRA,2008,84.31496
Brazil,BRA,2009,89.046906
Brazil,BRA,2010,84.80225
Brazil,BRA,2011,87.19347
Brazil,BRA,2012,82.5629
Brazil,BRA,2013,76.824974
Brazil,BRA,2014,73.279144
Brazil,BRA,2015,74.2077
Brazil,BRA,2016,80.46779
Brazil,BRA,2017,79.24727
Brazil,BRA,2018,82.35754
Brazil,BRA,2019,81.38569
Brazil,BRA,2020,83.16686
Brazil,BRA,2021,77.372025
Brazil,BRA,2022,87.70306
Brazil,BRA,2023,88.994804
Brazil,BRA,2024,87.33305
Brazil,BRA,2025,86.60146
Canada,CAN,2000,60.607464
Canada,CAN,2001,58.108753
Canada,CAN,2002,59.97933
Canada,CAN,2003,58.862423
Canada,CAN,2004,58.33751
Canada,CAN,2005,60.066074
Canada,CAN,2006,59.878708
Canada,CAN,2007,59.86376
Canada,CAN,2008,61.296467
Canada,CAN,2009,62.615864
Canada,CAN,2010,61.062878
Canada,CAN,2011,62.150814
Canada,CAN,2012,63.369152
Canada,CAN,2013,63.36531
Canada,CAN,2014,62.36734
Canada,CAN,2015,63.84099
Canada,CAN,2016,64.56463
Canada,CAN,2017,65.81908
Canada,CAN,2018,65.545975
Canada,CAN,2019,65.382034
Canada,CAN,2020,66.59501
Canada,CAN,2021,66.736664
Canada,CAN,2022,68.134865
Canada,CAN,2023,65.397026
Canada,CAN,2024,64.27237
Canada,CAN,2025,63.900127
China,CHN,2000,16.639126
China,CHN,2001,18.958124
China,CHN,2002,17.618395
China,CHN,2003,15.036272
China,CHN,2004,16.22241
China,CHN,2005,16.173119
China,CHN,2006,15.588404
China,CHN,2007,15.258385
China,CHN,2008,19.025333
China,CHN,2009,17.885717
China,CHN,2010,18.69147
China,CHN,2011,16.812574
China,CHN,2012,20.041142
China,CHN,2013,20.129684
China,CHN,2014,22.249393
China,CHN,2015,23.968369
China,CHN,2016,24.8288
China,CHN,2017,25.241505
China,CHN,2018,25.611975
China,CHN,2019,26.849586
China,CHN,2020,28.08832
China,CHN,2021,28.69376
China,CHN,2022,30.181347
China,CHN,2023,30.605776
China,CHN,2024,33.695553
China,CHN,2025,37.043716
Egypt,EGY,2000,19.448992
Egypt,EGY,2001,18.077066
Egypt,EGY,2002,16.467587
Egypt,EGY,2003,14.350797
Egypt,EGY,2004,13.56743
Egypt,EGY,2005,12.53097
Egypt,EGY,2006,11.99176
Egypt,EGY,2007,12.414484
Egypt,EGY,2008,12.445652
Egypt,EGY,2009,11.030014
Egypt,EGY,2010,9.9633045
Egypt,EGY,2011,9.842204
Egypt,EGY,2012,9.131663
Egypt,EGY,2013,8.995639
Egypt,EGY,2014,8.619481
Egypt,EGY,2015,8.584942
Egypt,EGY,2016,8.411712
Egypt,EGY,2017,8.022359
Egypt,EGY,2018,8.2551775
Egypt,EGY,2019,9.767163
Egypt,EGY,2020,11.963746
Egypt,EGY,2021,12.095775
Egypt,EGY,2022,11.817091
Egypt,EGY,2023,11.702415
Egypt,EGY,2024,11.196765
Egypt,EGY,2025,13.015343
France,FRA,2000,12.736593
France,FRA,2001,14.023221
France,FRA,2002,11.372541
France,FRA,2003,10.993866
France,FRA,2004,11.022427
France,FRA,2005,9.660189
France,FRA,2006,10.736824
France,FRA,2007,11.444539
France,FRA,2008,12.757065
France,FRA,2009,12.885964
France,FRA,2010,13.635394
France,FRA,2011,11.630405
France,FRA,2012,15.019909
France,FRA,2013,17.239706
France,FRA,2014,16.60398
France,FRA,2015,15.996098
France,FRA,2016,17.715267
France,FRA,2017,16.538311
France,FRA,2018,19.757393
France,FRA,2019,19.963926
France,FRA,2020,23.713608
France,FRA,2021,22.187494
France,FRA,2022,24.201088
France,FRA,2023,26.889639
France,FRA,2024,27.176117
France,FRA,2025,26.064074
Germany,DEU,2000,6.2237453
