Entity,Code,Year,Net enrollment,Gross enrollment
Argentina,ARG,2000,97.9275,120.50947
Argentina,ARG,2001,97.72469,120.17523
Argentina,ARG,2002,97.94752,118.03088
Argentina,ARG,2003,97.66732,115.79065
Argentina,ARG,2004,97.17989,116.8857
Argentina,ARG,2005,97.01492,115.33567
Argentina,ARG,2006,96.81432,113.97959
Argentina,ARG,2007,96.75825,114.16799
Argentina,ARG,2008,96.61149,116.44735
Argentina,ARG,2009,96.83583,122.32614
Argentina,ARG,2010,97.64024,127.30798
Argentina,ARG,2011,97.32775,125.16751
Argentina,ARG,2012,98.1935,126.79042
Argentina,ARG,2013,98.53326,127.61333
Argentina,ARG,2014,98.81499,128.52386
Argentina,ARG,2015,98.94845,130.21739
Argentina,ARG,2016,99.29728,133.17844
Argentina,ARG,2017,99.25636,133.92369
Argentina,ARG,2018,99.31314,131.73145
Argentina,ARG,2019,99.39928,129.87102
Argentina,ARG,2020,99.28917,128.7522
Argentina,ARG,2021,99.03346,125.43129
Argentina,ARG,2022,98.97901,123.17437
Australia,AUS,2013,99.93055,
Australia,AUS,2014,99.98301,
Australia,AUS,2015,99.95497,124.98194
Australia,AUS,2016,99.95702,122.74734
Australia,AUS,2017,99.95176,122.95394
Australia,AUS,2018,99.78702,113.44448
Australia,AUS,2019,99.67014,114.80361
Australia,AUS,2020,99.43351,110.66844
Australia,AUS,2021,98.9785,109.38934
Australia,AUS,2022,98.35348,109.06068
Australia,AUS,2023,98.1528,109.48536
Brazil,BRA,2012,95.30638,98.88037
Brazil,BRA,2013,97.62737,111.37384
Brazil,BRA,2014,95.75969,107.41555
Brazil,BRA,2015,95.56688,107.83335
Brazil,BRA,2016,96.59925,109.68965
Brazil,BRA,2017,96.17524,108.78128
Brazil,BRA,2018,97.11255,110.17541
Brazil,BRA,2019,96.75471,109.8785
Brazil,BRA,2020,96.56774,110.06571
Brazil,BRA,2021,95.83539,110.9623
Brazil,BRA,2022,96.16139,109.8195
Canada,CAN,2000,,98.76073
Canada,CAN,2004,,99.25851
Canada,CAN,2005,,97.81902
Canada,CAN,2006,,99.13647
Canada,CAN,2007,,99.27063
Canada,CAN,2008,,100.72599
Canada,CAN,2009,,100.65191
Canada,CAN,2010,,99.90499
Canada,CAN,2011,,99.85594
Canada,CAN,2012,99.94778,101.19957
Canada,CAN,2013,99.99596,100.94521
Canada,CAN,2014,99.97856,100.73384
Canada,CAN,2015,99.67783,100.72557
Canada,CAN,2016,,106.61419
Canada,CAN,2017,,106.42111
Canada,CAN,2018,,106.30561
Canada,CAN,2019,99.55453,104.77616
Canada,CAN,2020,99.18757,104.43856
Canada,CAN,2021,99.19484,102.86804
Canada,CAN,2022,99.34627,103.11155
China,CHN,2000,,80.01202
China,CHN,2001,,83.73593
China,CHN,2002,,85.88569
China,CHN,2003,,87.55329
China,CHN,2006,,103.45551
China,CHN,2007,,104.10844
China,CHN,2008,,103.62031
China,CHN,2009,,104.04651
China,CHN,2010,,104.52643
China,CHN,2011,,104.6222
China,CHN,2012,,102.96171
Egypt,EGY,2000,,90.05187
Egypt,EGY,2001,,90.67556
Egypt,EGY,2002,,92.55559
Egypt,EGY,2003,80.15525,87.33149
Egypt,EGY,2004,79.74716,86.71188
Egypt,EGY,2009,,82.86124
Egypt,EGY,2010,,83.80018
Egypt,EGY,2011,,84.67325
Egypt,EGY,2012,,83.5022
Egypt,EGY,2013,,83.57357
Egypt,EGY,2014,79.71004,84.00488
Egypt,EGY,2016,83.2694,86.08637
Egypt,EGY,2017,82.5407,85.78333
Egypt,EGY,2018,83.02617,85.73803
Egypt,EGY,2019,84.39762,87.29088
Egypt,EGY,2020,86.48564,88.76244
Egypt,EGY,2021,90.49959,91.39372
Egypt,EGY,2023,92.19651,93.65281
France,FRA,2000,94.76859,102.75166
France,FRA,2001,94.35592,101.90404
France,FRA,2002,93.97694,101.43181
France,FRA,2003,94.01309,101.14215
France,FRA,2004,94.09106,101.04531
France,FRA,2005,99.11566,106.06102
France,FRA,2006,99.21453,105.91428
France,FRA,2007,98.92595,105.16876
France,FRA,2008,99.16969,104.54237
France,FRA,2009,99.30693,103.60621
France,FRA,2010,99.44489,102.91329
France,FRA,2011,98.41565,102.83835
France,FRA,2012,98.3125,102.22201
France,FRA,2013,98.19685,101.51366
France,FRA,2014,97.46011,100.47039
France,FRA,2015,97.98684,100.80234
France,FRA,2016,98.44218,101.01219
France,FRA,2017,98.8477,101.14461
France,FRA,2018,99.04062,101.02878
France,FRA,2019,99.41465,101.38357
France,FRA,2020,99.9627,101.77212
France,FRA,2021,99.88232,101.38394
France,FRA,2022,99.81496,100.77294
Germany,DEU,2000,,99.32874
Germany,DEU,2001,,99.55782
Germany,DEU,2002,98.0406,100.60826
Germany,DEU,2003,98.09497,101.79629
Germany,DEU,2004,98.3941,102.77272
Germany,DEU,2005,98.74208,103.46766
Germany,DEU,2006,98.7818,103.67406
Germany,DEU,2007,98.93589,103.79269
Germany,DEU,2008,98.91534,102.72426
Germany,DEU,2009,99.01618,104.05898
Germany,DEU,2010,98.64019,103.40004
Germany,DEU,2011,97.72396,101.77052
Germany,DEU,2012,99.36014,101.20354
Germany,DEU,2013,99.27321,101.86437
Germany,DEU,2014,99.27102,101.74225
Germany,DEU,2015,98.94674,101.0638
Germany,DEU,2016,97.96116,100.4142
Germany,DEU,2017,98.55751,101.91039
Germany,DEU,2018,98.62652,101.84222
Germany,DEU,2019,98.65453,100.94971
Germany,DEU,2020,98.63687,100.41343
Germany,DEU,2021,99.32884,99.96923
Germany,DEU,2022,98.5753,99.71054
Germany,DEU,2023,97.75843,99.50049
India,IND,2002,,65.97841
India,IND,2003,,68.52245
India,IND,2004,,70.92197
India,IND,2005,,74.46867
India,IND,2006,,74.89416
India,IND,2007,,79.3861
India,IND,2008,,80.1149
India,IND,2009,,77.73465
India,IND,2010,,82.83061
India,IND,2011,,86.08745
India,IND,2012,,85.58051
India,IND,2013,86.46244,86.43252
India,IND,2014,,88.75011
India,IND,2015,,88.32543
India,IND,2016,,88.95106
India,IND,2017,,88.39584
India,IND,2018,,88.36307
India,IND,2019,,87.45671
India,IND,2020,88.980576,89.01254
India,IND,2021,89.977585,90.72638
India,IND,2022,89.291084,91.83229
India,IND,2023,85.37929,87.84405
India,IND,2024,84.93862,87.97592
Indonesia,IDN,2000,,71.52283
Indonesia,IDN,2001,73.7265,72.91941
Indonesia,IDN,2002,73.50624,72.68643
Indonesia,IDN,2003,78.16068,76.18517
Indonesia,IDN,2004,79.8526,77.917
Indonesia,IDN,2005,78.4445,74.24645
Indonesia,IDN,2006,75.80636,79.0416
Indonesia,IDN,2007,83.7299,88.01808
Indonesia,IDN,2008,79.90437,83.57085
Indonesia,IDN,2009,81.6581,86.31707
Indonesia,IDN,2010,82.49941,88.10422
Indonesia,IDN,2011,84.27054,88.20765
Indonesia,IDN,2012,85.95937,89.590256
Indonesia,IDN,2013,88.36615,92.83881
Indonesia,IDN,2014,90.16288,93.757515
Indonesia,IDN,2015,,99.42762
Indonesia,IDN,2016,,100.41102
Indonesia,IDN,2017,,100.29277
Indonesia,IDN,2018,88.03195,101.097534
Indonesia,IDN,2019,94.35896,100.24357
Indonesia,IDN,2020,93.30241,99.82465
Indonesia,IDN,2021,93.20046,99.51331
Indonesia,IDN,2022,93.81626,99.85695
Indonesia,IDN,2023,94.90999,97.88873
Japan,JPN,2013,99.94586,101.242
Japan,JPN,2014,99.99256,101.70516
Japan,JPN,2015,99.9663,101.63432
Japan,JPN,2016,99.98415,101.76439
Japan,JPN,2017,99.90063,102.17776
Japan,JPN,2018,99.91489,102.81916
Japan,JPN,2019,99.85971,102.20033
Japan,JPN,2020,99.95063,102.19475
Japan,JPN,2021,99.92937,100.94389
Japan,JPN,2022,99.98974,101.8149
Kenya,KEN,2000,89.90951,68.83507
Kenya,KEN,2001,,68.78124
Kenya,KEN,2002,85.10677,71.04582
Kenya,KEN,2003,95.44843,74.42001
Kenya,KEN,2004,96.14551,82.30929
Kenya,KEN,2005,97.34425,85.06154
Kenya,KEN,2006,95.59824,84.62644
Kenya,KEN,2007,,82.89888
Kenya,KEN,2008,,90.04162
Kenya,KEN,2009,,86.78393
Kenya,KEN,2012,,90.44484
Kenya,KEN,2014,,92.76352
Kenya,KEN,2015,,93.20904
Kenya,KEN,2016,,94.92497
Mexico,MEX,2000,83.07366,94.98996
Mexico,MEX,2001,,97.69841
Mexico,MEX,2002,87.311,99.95283
Mexico,MEX,2003,90.49493,104.39711
Mexico,MEX,2004,91.70257,104.91664
Mexico,MEX,2005,91.73829,105.24405
Mexico,MEX,2006,93.66897,107.88839
Mexico,MEX,2007,94.66708,109.82128
Mexico,MEX,2008,94.73034,113.11653
Mexico,MEX,2009,94.26715,112.20902
Mexico,MEX,2010,92.83648,113.55163
Mexico,MEX,2011,92.63948,114.15958
Mexico,MEX,2012,92.87321,116.70244
Mexico,MEX,2013,95.61756,120.04304
Mexico,MEX,2014,97.0236,124.31563
Mexico,MEX,2015,98.22375,129.42834
Mexico,MEX,2016,97.565,130.47371
Mexico,MEX,2017,94.98201,127.45029
Mexico,MEX,2018,92.88203,126.87478
Mexico,MEX,2019,92.748,126.6122
Mexico,MEX,2020,92.36296,121.91757
Mexico,MEX,2021,91.91725,116.42286
Mexico,MEX,2022,91.98984,118.34994
