country,country_code,year,net_enrollment,gross_enrollment
Argentina,ARG,2000,99.4582,116.5583
Argentina,ARG,2001,99.41306,116.74934
Argentina,ARG,2002,99.42078,116.87798
Argentina,ARG,2003,99.49409,114.37532
Argentina,ARG,2004,99.87597,115.44609
Argentina,ARG,2005,99.71793,114.58078
Argentina,ARG,2006,99.56158,116.18785
Argentina,ARG,2007,99.44469,117.23631
Argentina,ARG,2008,99.51839,118.32013
Argentina,ARG,2009,99.5429,118.29331
Argentina,ARG,2010,99.94892,118.1282
Argentina,ARG,2011,99.89538,117.37283
Argentina,ARG,2012,99.86563,116.43644
Argentina,ARG,2013,99.62847,114.42135
Argentina,ARG,2014,99.22837,113.87352
Argentina,ARG,2015,99.12778,112.93665
Argentina,ARG,2016,99.4858,111.65465
Argentina,ARG,2017,99.41827,109.87967
Argentina,ARG,2018,99.35985,109.30546
Argentina,ARG,2019,99.38001,109.33822
Argentina,ARG,2020,99.16859,108.50462
Argentina,ARG,2021,99.20595,108.13962
Argentina,ARG,2022,99.25256,106.75983
Australia,AUS,2000,95.29357,101.58354
Australia,AUS,2001,99.52428,101.43941
Australia,AUS,2002,99.66872,102.53451
Australia,AUS,2003,98.6157,102.85476
Australia,AUS,2004,98.88045,103.30206
Australia,AUS,2005,99.42737,103.39791
Australia,AUS,2006,99.51804,103.56256
Australia,AUS,2007,99.73846,105.42298
Australia,AUS,2008,99.70258,105.24463
Australia,AUS,2009,99.6954,105.21563
Australia,AUS,2010,99.6765,105.4885
Australia,AUS,2011,97.29431,105.27488
Australia,AUS,2012,97.69554,105.66972
Australia,AUS,2013,99.95173,105.80258
Australia,AUS,2014,99.92804,105.4616
Australia,AUS,2015,99.97187,101.66549
Australia,AUS,2016,99.99222,101.18069
Australia,AUS,2017,99.94221,100.63766
Australia,AUS,2018,99.80835,100.39871
Australia,AUS,2019,99.78596,100.1997
Australia,AUS,2020,99.41915,99.90111
Australia,AUS,2021,99.63219,99.92915
Australia,AUS,2022,99.70359,99.13299
Australia,AUS,2023,99.79255,99.36575
Brazil,BRA,2012,94.17987,104.78223
Brazil,BRA,2013,96.05027,109.94514
Brazil,BRA,2014,96.01767,110.31646
Brazil,BRA,2015,95.58756,109.15218
Brazil,BRA,2016,95.74343,108.75784
Brazil,BRA,2017,95.77665,109.80851
Brazil,BRA,2018,95.1718,108.62329
Brazil,BRA,2019,95.80667,107.40747
Brazil,BRA,2020,95.47928,105.4982
Brazil,BRA,2021,94.77044,103.47168
Brazil,BRA,2022,96.01554,103.97032
