Entity,Code,Year,Net enrollment,Gross enrollment
Argentina,ARG,2000,76.43231,71.66987
Argentina,ARG,2001,80.41301,74.57651
Argentina,ARG,2002,82.04456,75.36766
Argentina,ARG,2003,81.88026,75.562
Argentina,ARG,2004,80.52159,73.23499
Argentina,ARG,2005,79.63978,71.11999
Argentina,ARG,2006,80.8962,70.16051
Argentina,ARG,2007,81.06935,69.6055
Argentina,ARG,2008,83.58893,69.48543
Argentina,ARG,2009,82.06762,70.31919
Argentina,ARG,2010,83.21757,71.13118
Argentina,ARG,2011,84.52755,77.09002
Argentina,ARG,2012,85.83856,79.01229
Argentina,ARG,2013,86.47249,81.56924
Argentina,ARG,2014,86.79508,83.51168
Argentina,ARG,2015,88.66142,84.85143
Argentina,ARG,2016,90.45522,86.23465
Argentina,ARG,2017,90.02341,87.03307
Argentina,ARG,2018,90.06667,87.60899
Argentina,ARG,2019,91.38191,90.82483
Argentina,ARG,2020,93.66767,95.72253
Argentina,ARG,2021,96.01195,105.7761
Argentina,ARG,2022,95.41187,104.82233
Australia,AUS,2015,99.14738,225.90366
Australia,AUS,2016,99.06639,219.62717
Australia,AUS,2017,98.83256,213.45418
Australia,AUS,2018,94.07884,181.79562
Australia,AUS,2019,96.76626,205.28603
Australia,AUS,2020,96.41245,195.07288
Australia,AUS,2021,95.49858,192.2667
Australia,AUS,2022,93.86569,185.15286
Australia,AUS,2023,93.72315,184.92867
Brazil,BRA,2012,84.56839,88.40978
Brazil,BRA,2013,86.00117,94.43022
Brazil,BRA,2014,87.40884,96.46548
Brazil,BRA,2015,84.49185,92.46705
Brazil,BRA,2016,84.36029,94.09586
Brazil,BRA,2017,84.2061,95.98394
Brazil,BRA,2018,85.67991,98.53261
Brazil,BRA,2019,85.99404,96.40976
Brazil,BRA,2020,86.65375,96.58792
Brazil,BRA,2021,88.50366,101.12754
Brazil,BRA,2022,91.80203,101.18307
Canada,CAN,2000,,105.17067
Canada,CAN,2005,,101.4979
Canada,CAN,2006,,101.0798
Canada,CAN,2007,,102.21822
Canada,CAN,2008,,103.01208
Canada,CAN,2009,,104.07092
Canada,CAN,2010,,103.70279
Canada,CAN,2011,,104.15701
Canada,CAN,2012,86.40217,119.56679
Canada,CAN,2013,86.89397,120.95356
Canada,CAN,2014,86.66923,121.86822
Canada,CAN,2015,86.86773,122.05067
Canada,CAN,2016,91.96069,116.29708
Canada,CAN,2017,92.92155,117.26734
Canada,CAN,2018,93.46196,117.224
Canada,CAN,2019,86.24297,117.14883
Canada,CAN,2020,85.74073,114.85336
Canada,CAN,2021,85.98398,113.98348
Canada,CAN,2022,85.25731,111.97692
China,CHN,2000,,36.22807
China,CHN,2001,,37.02228
China,CHN,2002,,37.1104
China,CHN,2003,,39.22356
China,CHN,2006,,50.9451
China,CHN,2007,,57.78834
China,CHN,2008,,65.40947
China,CHN,2009,,74.14534
China,CHN,2010,,78.23364
China,CHN,2011,,80.52394
China,CHN,2012,,82.42358
China,CHN,2013,,88.30117
China,CHN,2014,,86.60977
China,CHN,2015,,84.76136
China,CHN,2016,,82.07305
China,CHN,2017,,81.43236
China,CHN,2018,,82.01037
